bic;id;naambank
AABNNL2A;AABN;ABN AMRO Trading as Kendu
ABNANL2A;ABNA;ABN AMRO BANK 
ABNANL2A;FTSB;ABN AMRO (ex FORTIS)
ABNCNL2A;ABNC;ABN AMRO Clearing Bank N.V.
ADYBNL2A;ADYB;ADYEN
AEGONL2U;AEGO;AEGON BANK 
ANDLNL2A;ANDL;ANADOLUBANK
ARBNNL22;ARBN;ACHMEA BANK 
ARSNNL21;ARSN;ARGENTA SPAARBANK 
ASNBNL21;ASNB;ASN BANK
ATBANL2A;ATBA;AMSTERDAM TRADE BANK
BCDMNL22;BCDM;BANQUE CHAABI DU MAROC
BCITNL2A;BCIT;INTESA SANPAOLO
BICKNL2A;BICK;BINCKBANK 
BINKNL21;BINK;BINCKBANK, PROF
BITSNL2A;BITS;BITSAFE PAYMENTS
BKCHNL2R;BKCH;BANK OF CHINA
BKMGNL2A;BKMG;BANK MENDES GANS
BLGWNL21;BLGW;BLG WONEN
BMEUNL21;BMEU;BMCE EUROSERVICES
BNDANL2A;BNDA;BRAND NEW DAY BANK
BNGHNL2G;BNGH;BANK NEDERLANDSE GEMEENTEN
BNPANL2A;BNPA;BNP PARIBAS
BOFANLNX;BOFA;BANK OF AMERICA
BOFSNL21002;BOFS;BANK OF SCOTLAND, AMSTERDAM
BOTKNL2X;BOTK;MUFG BANK
BUNQNL2A;BUNQ;BUNQ
CHASNL2X;CHAS;JPMORGAN CHASE
CITCNL2A;CITC;CITCO BANK
CITINL2X;CITI;CITIBANK INTERNATIONAL
COBANL2X;COBA;COMMERZBANK
DEUTNL2A;DEUT;DEUTSCHE BANK (bij alle SEPA-transacties)
DHBNNL2R;DHBN;DEMIR-HALK BANK
DLBKNL2A;DLBK;DELTA LLOYD BANK
DNIBNL2G;DNIB;NIBC
EBURNL21;EBUR;EBURY NETHERLANDS
FBHLNL2A;FBHL;CREDIT EUROPE BANK
FLORNL2A;FLOR;DE NEDERLANDSCHE BANK
FRNXNL2A;FRNX;FRANX
FVLBNL22;FVLB;VAN LANSCHOT 
GILLNL2A;GILL;INSINGERGILISSEN 
HANDNL2A;HAND;SVENSKA HANDELSBANKEN
HHBANL22;HHBA;HOF HOORNEMAN BANKIERS
HSBCNL2A;HSBC;HSBC BANK
ICBCNL2A;ICBC;MEGA INTERNATIONAL COMMERCIAL BANK
ICBKNL2A;ICBK;INDUSTRIAL & COMMERCIAL BANK OF CHINA
INGBNL2A;INGB;ING
ISAENL2A;ISAE;CACEIS BANK, Netherlands Branch
ISBKNL2A;ISBK;ISBANK
KABANL2A;KABA;YAPI KREDI BANK
KASANL2A;KASA;KAS BANK 
KNABNL2H;KNAB;KNAB
KOEXNL2A;KOEX;KOREA EXCHANGE BANK
KREDNL2X;KRED;KBC BANK
LOCYNL2A;LOCY;LOMBARD ODIER DARIER HENTSCH & CIE
LOYDNL2A;LOYD;LLOYDS TSB BANK 
LPLNNL2F;LPLN;LEASEPLAN CORPORATION 
MHCBNL2A;MHCB;MIZUHO BANK EUROPE NV
MOYONL21;MOYO;MONEYOU
NNBANL2G;NNBA;NATIONALE-NEDERLANDEN BANK
NWABNL2G;NWAB;NEDERLANDSE WATERSCHAPSBANK
PCBCNL2A;PCBC;CHINA CONSTRUCTION BANK, AMSTERDAM BRANCH
RABONL2U;RABO;RABOBANK
RBRBNL21;RBRB;REGIOBANK
SNSBNL2A;SNSB;SNS
SOGENL2A;SOGE;SOCIETE GENERALE
TEBUNL2A;TEBU;THE ECONOMY BANK 
TRIONL2U;TRIO;TRIODOS BANK
UBSWNL2A;UBSW;UBS EUROPE, NETHERLANDS BRANCH
UGBINL2A;UGBI;GARANTIBANK INTERNATIONAL 
VOWANL21;VOWA;VOLKSWAGEN BANK
ZWLBNL21;ZWLB;SNS ( ex ZWITSERLEVENBANK)